,created_at,pm25,pm10,rh,temp
423,2020-11-05 12:00:00,21.8,24.3,25.78,33.37
424,2020-11-05 12:15:00,22.7,25.0,25.42,33.86
425,2020-11-05 12:30:00,22.4,24.8,25.04,33.7
426,2020-11-05 12:45:00,23.6,25.9,25.65,34.27
427,2020-11-05 13:00:00,23.5,25.8,26.0,34.89
428,2020-11-05 13:15:00,23.6,26.3,26.16,34.98
429,2020-11-05 13:30:00,24.3,26.9,25.27,35.55
430,2020-11-05 13:45:00,22.8,25.2,25.42,35.27
431,2020-11-05 14:00:00,22.2,24.7,24.99,35.49
432,2020-11-05 14:15:00,23.6,26.1,24.37,35.81
433,2020-11-05 14:30:00,22.4,24.8,24.14,36.08
434,2020-11-05 14:45:00,23.0,25.4,24.32,36.18
435,2020-11-05 15:00:00,23.1,25.6,24.66,36.87
436,2020-11-05 15:15:00,22.5,25.1,24.7,36.95
437,2020-11-05 15:30:00,23.5,26.2,24.94,36.41
438,2020-11-05 15:45:00,23.1,25.4,25.59,36.42
439,2020-11-05 16:00:00,23.7,26.4,26.8,36.4
440,2020-11-05 16:15:00,25.0,27.6,26.15,35.92
441,2020-11-05 16:30:00,24.5,27.4,27.65,35.52
442,2020-11-05 16:45:00,23.3,25.9,27.84,34.88
443,2020-11-05 17:00:00,24.9,27.7,28.49,33.51
444,2020-11-05 17:15:00,24.4,29.9,29.8,33.02
445,2020-11-05 17:30:00,25.7,30.0,30.99,32.35
446,2020-11-05 17:45:00,26.5,31.4,33.12,31.67
